pno, rtt
0, 0.14263176918029785
1, 0.07351183891296387
2, 0.07959246635437012
3, 0.07718873023986816
4, 0.07655596733093262
5, 0.07195043563842773
6, 0.07518172264099121
7, 0.0930483341217041
8, 0.0704507827758789
9, 0.07285785675048828
10, 0.07411003112792969
11, 0.07543468475341797
12, 0.09199166297912598
13, 0.07035160064697266
14, 0.08422994613647461
15, 0.07761502265930176
16, 0.07797360420227051
17, 0.08207941055297852
18, 0.0798337459564209
19, 0.07346940040588379
20, 0.09058094024658203
21, 0.07961606979370117
22, 0.09101414680480957
23, 0.7206933498382568
24, 0.09054970741271973
25, 0.08907771110534668
26, 0.07561206817626953
27, 0.07769131660461426
28, 0.07722139358520508
29, 0.07592940330505371
30, 0.08763480186462402
31, 0.0744786262512207
32, 0.06960797309875488
33, 0.09385919570922852
34, 0.07884979248046875
35, 0.08526492118835449
36, 0.07900357246398926
37, 0.08146357536315918
38, 0.08382964134216309
39, 0.07894134521484375
40, 0.07469797134399414
41, 0.08734703063964844
42, 0.07908773422241211
43, 0.08456611633300781
44, 0.06977057456970215
45, 0.0677652359008789
46, 0.06731033325195312
47, 0.06928229331970215
48, 0.07660984992980957
49, 0.07604074478149414
50, 0.07902002334594727
51, 0.08149075508117676
52, 0.09942388534545898
53, 0.08563089370727539
54, 0.07572340965270996
55, 0.07791519165039062
56, 0.08047604560852051
57, 0.07804274559020996
58, 0.06588935852050781
59, 0.07606291770935059
60, 0.08924317359924316
61, 0.07837080955505371
62, 0.09115743637084961
63, 0.08568906784057617
64, 0.0776216983795166
65, 0.08263468742370605
66, 0.0773472785949707
67, 0.07424521446228027
68, 0.07775092124938965
69, 0.07491660118103027
70, 0.07729935646057129
71, 0.08166122436523438
72, 0.08522343635559082
73, 0.07554769515991211
74, 0.07837915420532227
75, 0.09427022933959961
76, 0.06402015686035156
77, 0.08059573173522949
78, 0.07587480545043945
79, 0.07739949226379395
80, 0.07883381843566895
81, 0.0877230167388916
82, 0.0829470157623291
83, 0.08416509628295898
84, 0.08120107650756836
85, 0.07953500747680664
86, 0.08451604843139648
87, 0.09165382385253906
88, 0.07910704612731934
89, 0.08799290657043457
90, 0.09016728401184082
91, 0.06955814361572266
92, 0.07657647132873535
93, 0.0763702392578125
94, 0.08323502540588379
95, 0.07255387306213379
96, 0.0822901725769043
97, 0.08402228355407715
98, 0.07632732391357422
99, 0.07778763771057129
100, 0.07978391647338867
101, 0.08748483657836914
102, 0.0888833999633789
103, 0.08379483222961426
104, 0.07153773307800293
105, 0.07317829132080078
106, 0.08534622192382812
107, 0.07882928848266602
108, 0.08352470397949219
109, 0.09157514572143555
110, 0.07429695129394531
111, 0.07146596908569336
112, 0.07376766204833984
113, 0.07860183715820312
114, 0.07735347747802734
115, 0.0778961181640625
116, 0.0710134506225586
117, 0.07381868362426758
118, 0.08498573303222656
119, 0.0787196159362793
120, 0.11891913414001465
121, 0.08579587936401367
122, 0.08600759506225586
123, 0.07439613342285156
124, 0.10786271095275879
125, 0.07421064376831055
126, 0.08416962623596191
127, 0.08089637756347656
128, 0.07409143447875977
129, 0.07427382469177246
130, 0.07510733604431152
131, 0.07324814796447754
132, 0.0922858715057373
133, 0.07520437240600586
134, 0.07584977149963379
135, 0.09419107437133789
136, 0.07296085357666016
137, 0.07678961753845215
138, 0.08075332641601562
139, 0.07851481437683105
140, 0.07988834381103516
141, 0.07593226432800293
142, 0.06952762603759766
143, 0.08543777465820312
144, 0.0689091682434082
145, 0.07712244987487793
146, 0.08069634437561035
147, 0.09250926971435547
148, 0.08451223373413086
149, 0.06896591186523438
150, 0.06862425804138184
151, 0.07418322563171387
152, 0.06749820709228516
153, 0.07753562927246094
154, 0.0797269344329834
155, 0.08643317222595215
156, 0.08083295822143555
157, 0.0892641544342041
158, 0.07798290252685547
159, 0.08476662635803223
160, 0.08274984359741211
161, 0.0880734920501709
162, 0.07629847526550293
163, 0.07921242713928223
164, 0.07989144325256348
165, 0.07436394691467285
166, 0.07052040100097656
167, 0.07465243339538574
168, 0.0803673267364502
169, 0.07775998115539551
170, 0.08606457710266113
171, 0.07645440101623535
172, 0.0777595043182373
173, 0.09438109397888184
174, 0.08136916160583496
175, 0.08418846130371094
176, 0.076019287109375
177, 0.08403587341308594
178, 0.07915639877319336
179, 0.07856941223144531
180, 0.09299945831298828
181, 0.0724947452545166
182, 0.08313107490539551
183, 0.08623671531677246
184, 0.08814573287963867
185, 0.09728693962097168
186, 0.07816028594970703
187, 0.07747840881347656
188, 0.08173561096191406
189, 0.08885669708251953
190, 0.08756637573242188
191, 0.09977936744689941
192, 0.09014749526977539
193, 0.0745534896850586
194, 0.07860136032104492
195, 0.07986712455749512
196, 0.07954835891723633
197, 0.0881960391998291
198, 0.10316348075866699
199, 0.08344817161560059
200, 0.08614468574523926
201, 0.07825684547424316
202, 0.08219504356384277
203, 0.07411575317382812
204, 0.07536101341247559
205, 0.08536911010742188
206, 0.08721709251403809
207, 0.07591128349304199
208, 0.08098602294921875
209, 0.08255290985107422
210, 0.07800626754760742
211, 0.07888460159301758
212, 0.07553958892822266
213, 0.0788578987121582
214, 0.07929706573486328
215, 0.10268449783325195
216, 0.08022093772888184
217, 0.08516049385070801
218, 0.08814239501953125
219, 0.0965414047241211
220, 0.07793188095092773
221, 0.08064746856689453
222, 0.07821393013000488
223, 0.07995128631591797
224, 0.07584166526794434
225, 0.08090853691101074
226, 0.07498002052307129
227, 0.07752013206481934
228, 0.07811188697814941
229, 0.08056211471557617
230, 0.07674860954284668
231, 0.08763718605041504
232, 0.08142518997192383
233, 0.0777273178100586
234, 0.07581305503845215
235, 0.07730269432067871
236, 0.08581328392028809
237, 0.0800621509552002
238, 0.07656121253967285
239, 0.07937312126159668
240, 0.07852435111999512
241, 0.7774074077606201
242, 0.7574310302734375
243, 0.715404748916626
244, 0.09513354301452637
245, 0.10184836387634277
246, 0.11018943786621094
247, 0.09069299697875977
248, 0.08418822288513184
249, 0.07839369773864746
250, 0.07865285873413086
251, 0.08752989768981934
252, 0.08101463317871094
253, 0.0850679874420166
254, 0.07927703857421875
255, 0.07724261283874512
256, 0.07482576370239258
257, 0.0865926742553711
258, 0.08092904090881348
259, 0.07784223556518555
260, 0.08900117874145508
261, 0.7463655471801758
262, 0.7202203273773193
263, 0.7081472873687744
266, 1.4487428665161133
267, 0.08802390098571777
268, 0.08225584030151367
269, 0.08569741249084473
270, 0.08382368087768555
271, 0.08167552947998047
272, 0.08882665634155273
273, 0.07718443870544434
274, 0.08460521697998047
275, 0.0862889289855957
276, 0.07802438735961914
277, 0.07177329063415527
278, 0.0786278247833252
279, 0.07532024383544922
280, 0.10893750190734863
281, 0.09578895568847656
282, 0.09933781623840332
283, 0.10034465789794922
284, 0.07804203033447266
285, 0.07866644859313965
286, 0.10316133499145508
287, 0.0990443229675293
288, 0.0794074535369873
289, 0.08726382255554199
290, 0.08697128295898438
291, 0.08014798164367676
292, 0.0784764289855957
293, 0.07700276374816895
294, 0.07913422584533691
295, 0.07910776138305664
296, 0.07802200317382812
297, 0.0884101390838623
298, 0.07923340797424316
299, 0.0780954360961914
300, 0.07415962219238281
301, 0.07922816276550293
302, 0.07200479507446289
303, 0.07098126411437988
304, 0.07467985153198242
305, 0.7591361999511719
306, 0.7072432041168213
307, 0.07914113998413086
308, 0.0809319019317627
309, 0.09055948257446289
310, 0.08350992202758789
311, 0.08785438537597656
312, 0.08969259262084961
313, 0.06935310363769531
314, 0.07590413093566895
315, 0.06669497489929199
316, 0.7209789752960205
317, 0.07800126075744629
318, 0.07827591896057129
319, 0.0819542407989502
320, 0.07790398597717285
321, 0.07819366455078125
322, 0.07320094108581543
323, 0.08332681655883789
324, 0.07451915740966797
325, 0.08843469619750977
326, 0.07868003845214844
327, 0.0762028694152832
328, 0.06754207611083984
329, 0.07073020935058594
330, 0.08317279815673828
331, 0.06858587265014648
332, 0.07555055618286133
333, 0.07805514335632324
334, 0.07115626335144043
335, 0.06523633003234863
336, 0.08609151840209961
337, 0.07264399528503418
338, 0.08538651466369629
339, 0.08180093765258789
340, 0.07254171371459961
341, 0.07632160186767578
342, 0.07940125465393066
343, 0.07667207717895508
344, 0.07567286491394043
345, 0.07093286514282227
346, 0.07361030578613281
347, 0.06973981857299805
348, 0.08465743064880371
349, 0.07613444328308105
350, 0.08910560607910156
351, 0.08982133865356445
352, 0.07098031044006348
353, 0.08339929580688477
354, 0.07178902626037598
355, 0.0780477523803711
356, 0.07597994804382324
357, 0.08019661903381348
358, 0.08735251426696777
359, 0.08974361419677734
360, 0.08797645568847656
361, 0.08125758171081543
362, 0.07414698600769043
363, 0.08388066291809082
364, 0.10369729995727539
365, 0.07572507858276367
366, 0.08909463882446289
367, 0.07956409454345703
368, 0.09008479118347168
369, 0.06384730339050293
370, 0.06714940071105957
371, 0.06833672523498535
372, 0.0727837085723877
373, 0.07703185081481934
374, 0.06682252883911133
375, 0.07944631576538086
376, 0.06682658195495605
377, 0.07995009422302246
378, 0.0845499038696289
379, 0.07934737205505371
380, 0.07889127731323242
381, 0.07842350006103516
382, 0.07889652252197266
383, 0.07646989822387695
384, 0.08591032028198242
385, 0.0685434341430664
386, 0.07958555221557617
387, 0.07457327842712402
388, 0.0671548843383789
389, 0.07674670219421387
390, 0.07105827331542969
391, 0.07783007621765137
392, 0.08569788932800293
393, 0.07790040969848633
394, 0.07875490188598633
395, 0.08133697509765625
396, 0.07741284370422363
397, 0.0737142562866211
398, 0.09118986129760742
399, 0.07985520362854004
400, 0.08860397338867188
401, 0.07633376121520996
402, 0.08774638175964355
403, 0.08140134811401367
404, 0.08547544479370117
405, 0.07758498191833496
406, 0.07832598686218262
407, 0.0945596694946289
408, 0.08148813247680664
409, 0.09137606620788574
410, 0.07802557945251465
411, 0.08259081840515137
412, 0.09316897392272949
413, 0.0793147087097168
414, 0.07581806182861328
415, 0.07758569717407227
416, 0.07013940811157227
417, 0.08187031745910645
418, 0.07142090797424316
419, 0.0757904052734375
420, 0.08000969886779785
421, 0.07821202278137207
422, 0.07429265975952148
423, 0.09551715850830078
424, 0.07195878028869629
425, 0.07533478736877441
426, 0.0785360336303711
427, 0.10291004180908203
428, 0.09502911567687988
429, 0.07586455345153809
430, 0.07810258865356445
431, 0.0803380012512207
432, 0.07707452774047852
433, 0.07822394371032715
434, 0.07384657859802246
435, 0.0701749324798584
436, 0.07070088386535645
437, 0.07358741760253906
438, 0.0876619815826416
439, 0.07192778587341309
440, 0.06682372093200684
441, 0.07513833045959473
442, 0.06646871566772461
443, 0.07006454467773438
444, 0.08391070365905762
445, 0.08183717727661133
446, 0.0626373291015625
447, 0.06750035285949707
448, 0.07864499092102051
449, 0.06631731986999512
450, 0.07833075523376465
451, 0.0794520378112793
452, 0.07252120971679688
453, 0.08237910270690918
454, 0.07541298866271973
455, 0.0685281753540039
456, 0.0798654556274414
457, 0.06668376922607422
458, 0.07792854309082031
459, 0.07599687576293945
460, 0.0668649673461914
461, 0.07546305656433105
462, 0.0682830810546875
463, 0.0670921802520752
464, 0.07218575477600098
465, 0.07392311096191406
466, 0.06941413879394531
467, 0.06567168235778809
468, 0.07936310768127441
469, 0.07368707656860352
470, 0.06786704063415527
471, 0.07932400703430176
472, 0.06689786911010742
473, 0.08074331283569336
474, 0.0727543830871582
475, 0.08138036727905273
476, 0.08127117156982422
477, 0.07186031341552734
478, 0.10576391220092773
479, 0.08165502548217773
480, 0.08703756332397461
481, 0.08361196517944336
