pno, rtt
0, 0.34345388412475586
1, 0.3422672748565674
2, 0.3325974941253662
3, 0.28427815437316895
4, 0.2838015556335449
5, 0.3890373706817627
6, 0.3192634582519531
7, 0.28872036933898926
8, 0.32985806465148926
9, 0.38578319549560547
10, 0.5100452899932861
11, 0.2940666675567627
12, 0.35115599632263184
13, 0.349886417388916
14, 0.3372466564178467
15, 0.2763521671295166
16, 0.2943594455718994
17, 0.3571469783782959
18, 0.29996514320373535
19, 0.2830934524536133
20, 0.30973267555236816
21, 0.2851390838623047
22, 0.4514048099517822
23, 0.28478503227233887
24, 0.28868913650512695
25, 0.32126283645629883
26, 0.2919270992279053
27, 0.31369519233703613
28, 0.39516234397888184
29, 0.28902387619018555
30, 0.29346489906311035
31, 0.30161571502685547
32, 0.4001779556274414
33, 0.37248992919921875
34, 0.32398509979248047
35, 0.32392406463623047
36, 0.30725550651550293
37, 0.28753232955932617
38, 0.28226566314697266
39, 0.7702832221984863
40, 0.29926514625549316
41, 0.28476428985595703
42, 0.27606821060180664
43, 0.273662805557251
44, 0.8154184818267822
45, 0.6055705547332764
46, 0.2822558879852295
47, 0.2877049446105957
48, 0.29079222679138184
49, 0.2763044834136963
50, 0.2810351848602295
51, 0.2781646251678467
52, 0.36058735847473145
53, 0.27935314178466797
54, 0.5291049480438232
55, 0.2778325080871582
56, 0.36548590660095215
57, 0.27739739418029785
58, 0.41127848625183105
59, 0.4119539260864258
60, 0.33344101905822754
61, 0.29889559745788574
62, 0.279918909072876
63, 0.28189730644226074
64, 0.3405916690826416
65, 0.3092925548553467
66, 0.27416110038757324
67, 0.2822563648223877
68, 0.3596768379211426
69, 0.28089427947998047
70, 0.2840614318847656
71, 0.46472930908203125
72, 0.41864895820617676
73, 0.396528959274292
74, 0.28813815116882324
75, 0.3267323970794678
76, 0.3103606700897217
77, 0.34366536140441895
78, 0.28845739364624023
79, 0.2804703712463379
80, 0.5149195194244385
81, 0.27307605743408203
82, 0.2881343364715576
83, 0.46729588508605957
84, 0.40731358528137207
85, 0.3009660243988037
86, 0.28756141662597656
87, 0.33411645889282227
88, 0.3027915954589844
89, 0.4066281318664551
90, 0.3243224620819092
91, 0.2798948287963867
92, 0.2839932441711426
93, 0.36502575874328613
94, 0.29298973083496094
95, 0.2776925563812256
96, 0.32685256004333496
97, 0.515894889831543
98, 0.30521297454833984
99, 0.27510547637939453
100, 0.29168200492858887
