pno, rtt
0, 0.01578378677368164
1, 0.00486302375793457
2, 0.008103132247924805
3, 0.007147073745727539
4, 0.004904985427856445
5, 0.007545948028564453
6, 0.005105495452880859
7, 0.007723569869995117
8, 0.01000356674194336
9, 0.0056378841400146484
10, 0.004625558853149414
11, 0.006879091262817383
12, 0.008589744567871094
13, 0.010888814926147461
14, 0.006421089172363281
15, 0.004095315933227539
16, 0.004468441009521484
17, 0.006688594818115234
18, 0.007264852523803711
19, 0.005987405776977539
20, 0.006011009216308594
21, 0.005136966705322266
22, 0.007192850112915039
23, 0.004446744918823242
24, 0.004049777984619141
25, 0.00489497184753418
26, 0.0066869258880615234
27, 0.008020877838134766
28, 0.010862588882446289
29, 0.006346940994262695
30, 0.005898714065551758
31, 0.006283760070800781
32, 0.01269674301147461
33, 0.0036482810974121094
34, 0.00484776496887207
35, 0.005306243896484375
36, 0.006207466125488281
37, 0.014043092727661133
38, 0.004906654357910156
39, 0.006550788879394531
40, 0.004979610443115234
41, 0.005116462707519531
42, 0.019124984741210938
43, 0.004086971282958984
44, 0.003925323486328125
45, 0.004882335662841797
46, 0.0038254261016845703
47, 0.004937410354614258
48, 0.005240201950073242
49, 0.005588054656982422
50, 0.008684635162353516
51, 0.005250215530395508
52, 0.002704620361328125
53, 0.007631778717041016
54, 0.004098176956176758
55, 0.004641532897949219
56, 0.005142927169799805
57, 0.02109837532043457
58, 0.007299900054931641
59, 0.005113124847412109
60, 0.004432201385498047
61, 0.004680633544921875
62, 0.01087498664855957
63, 0.003298044204711914
64, 0.005919933319091797
65, 0.004547119140625
66, 0.0034797191619873047
67, 0.005942106246948242
68, 0.005064249038696289
69, 0.010302305221557617
70, 0.005080223083496094
71, 0.005229949951171875
72, 0.0060079097747802734
73, 0.00618433952331543
74, 0.008013248443603516
75, 0.010914325714111328
76, 0.005927562713623047
77, 0.004580974578857422
78, 0.004008054733276367
79, 0.00488591194152832
80, 0.005677461624145508
81, 0.0058901309967041016
82, 0.008082866668701172
83, 0.006258487701416016
84, 0.0062100887298583984
85, 0.00467681884765625
86, 0.006783485412597656
87, 0.007028341293334961
88, 0.008574724197387695
89, 0.008875846862792969
90, 0.009918689727783203
91, 0.09926438331604004
92, 0.0060977935791015625
93, 0.0031974315643310547
94, 0.004804372787475586
95, 0.005038022994995117
96, 0.007090568542480469
97, 0.00837397575378418
98, 0.0074825286865234375
99, 0.007913589477539062
